id,name,latitude,longitude,altitude
,Hermina,25.69498,115.601076,100
,Brentwood,42.1088311,21.553379,100
,Little Fleur,30.107387,121.402682,100
,Susan,42.0416939,19.94522,100
,Atwood,26.641315,100.222545,100
,Bay,31.829323,119.977286,100
,Maywood,-26.4070347,-61.4128561,100
,Merry,9.4091419,9.2106745,100
,Daystar,46.3897383,16.4379653,100
,Rutledge,-9.9104,120.4871,100
,Shasta,-12.0817609,-77.0960876,100
,Jenna,20.7501646,-76.0333885,100
,Annamark,20.7887571,97.0337141,100
,Hoffman,49.0965676,-117.71173,100
,Tony,25.671402,104.260115,100
,Morrow,36.041695,14.220356,100
,Bluejay,43.9142905,12.4208642,100
,Doe Crossing,36.4091188,10.1423172,100
,Tennyson,23.714316,103.267142,100
,Daystar,50.564305,21.8827302,100
,Lien,40.417358,117.500558,100
,Oak Valley,-8.7458539,121.8505679,100
,Surrey,-6.1493907,143.6474817,100
,Jana,-17.4013758,-63.8817832,100
,Dorton,-7.3552614,108.5693704,100
,Hudson,40.7531415,45.7400681,100
,Londonderry,14.5699334,121.0204582,100
,Stephen,29.703113,107.389298,100
,Mayer,28.074649,119.141473,100
,Shopko,52.3444367,4.9091171,100
,Red Cloud,49.7898368,19.8466246,100
,Dapin,37.1691224,-3.6002547,100
,Westridge,-26.800415,-60.840114,100
,Westend,-26.68532,-60.7292,100
,Colorado,52.7060809,41.3951119,100
,Donald,63.7453456,25.3525414,100
,Goodland,47.1900322,102.8340449,100
,Corben,14.7980871,-87.3388767,100
,Cordelia,33.2600421,103.9185994,100
,Westridge,25.84791,-80.2377078,100
,Main,-8.0372299,112.76878,100
,Butternut,33.8937913,35.5017767,100
,John Wall,60.7610412,-135.1742264,100
,Twin Pines,-16.4658725,-54.6341746,100
,Pearson,52.1837429,34.0412051,100
,Canary,23.0664459,113.1964636,100
,Hansons,58.0537462,27.0548658,100
,Bowman,3.9671435,103.40391,100
,High Crossing,55.3605576,52.0111855,100
,Stang,14.6087807,121.0334173,100
,North,28.615201,89.493117,100
,Hudson,37.5568153,139.747389,100
,Alpine,-27.36667,26.63056,100
,Sutherland,26.5836,104.857063,100
,Mockingbird,40.9971976,22.5703984,100
,Judy,41.0652035,-8.2418412,100
,Knutson,29.985295,122.207215,100
,Kropf,21.5743109,105.8215718,100
,American Ash,10.6503878,-5.1692752,100
,North,4.3045959,-74.8031414,100
,Killdeer,43.817071,125.323544,100
,Monterey,54.1439356,39.7408655,100
,Basil,35.256108,113.322332,100
,Brentwood,9.9153112,123.6091507,100
,Tony,-4.3499796,152.2714594,100
,Aberg,14.3705235,120.8168869,100
,Wayridge,52.2680883,22.5839609,100
,Petterle,2.2763077,-78.5887951,100
,Schiller,31.364902,108.249509,100
,Butterfield,22.109412,111.705859,100
,West,35.7952267,51.4322706,100
,Vermont,39.907483,116.442259,100
,Colorado,-7.8090256,110.363649,100
,Fairfield,54.9377761,26.6910443,100
,Ridgeway,35.1744271,-6.1473964,100
,Basil,45.456699,38.9760024,100
,La Follette,-8.1141,111.7762,100
,Basil,14.6698,-90.357,100
,Graedel,-7.324188,110.509841,100
,Prentice,47.0173733,-68.1430343,100
